# Model: Name of the sea ice forecast model
# Ensemble member: Name of the ensemble member. Only relevant for IceNet models - for SEAS5 and the linear trend model this is 'NA'. IceNet's temperature-scaled ensemble mean is labelled 'ensemble_tempscaled'. The non-temperature-scaled ensemble mean is labelled 'ensemble'
# Leadtime: Lead time of the forecast (number of months)
# Forecast date: Monthly-average target forecast date (day set to 01 by default)
# Binary accuracy: Percentage of grid cells with the correct binary prediction for SIC > 15% from the model, computed within a maximum sea ice climatology mask (%)
# SIE error: Sea ice extent (area covered by grid cells with SIC > 15%) error between model and OSI-SAF ground truth (km2)
#
Model,Ensemble member,Leadtime,Forecast date,Binary accuracy,SIE error
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2017-02-01,97.26321,-126250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2017-03-01,95.08245,-61875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2017-04-01,95.72958,-123750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2017-05-01,96.123726,-116875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2017-06-01,94.653465,246250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2017-07-01,92.93393,-11875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2017-08-01,89.98368,431250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2017-09-01,90.66681,-635625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2017-10-01,92.76743,-422500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2017-11-01,93.79818,-174375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2017-12-01,95.55136999999999,145625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2018-01-01,96.63509,131250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2018-02-01,95.04997,25000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2018-03-01,95.4093,-68125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2018-04-01,96.23481,-8750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2018-05-01,96.07499,167500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2018-06-01,94.56912,389375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2018-07-01,89.83296,691875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2018-08-01,92.50175,553750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2018-09-01,93.73276,-181250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2018-10-01,91.118065,-307500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2018-11-01,94.146416,-715000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2018-12-01,96.14341999999999,-240000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2019-01-01,96.05411,-687500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2019-02-01,94.13374,-287500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2019-03-01,94.22077,-204375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2019-04-01,95.51606,94375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2019-05-01,97.34217,43750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2019-06-01,93.454346,405625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2019-07-01,90.085175,-655000.0
